latitude,longitude
40.439381,-80.0044
40.439334,-80.0043
40.43929,-80.0042
40.439246,-80.004
40.4392,-80.0039
40.439157,-80.0038
40.439115,-80.0037
40.439064,-80.0036
40.439008,-80.0034
40.438959,-80.0033
